term,term_frequency
erfuhr_VERB,108889
engen_ADJ,108734
dauern_VERB,108543
fehlen_VERB,108420
schafft_VERB,108286
leeren_ADJ,108130
reine_ADJ,108074
zeigten_VERB,107582
linke_ADJ,107551
nachts_ADV,107338
greifen_VERB,107283
sanft_ADJ,106898
würdest_VERB,106447
weisen_VERB,106354
stammt_VERB,106339
lauter_ADJ,106134
trugen_VERB,106130
erzeugt_VERB,106053
knapp_ADJ,105566
ersetzt_VERB,105498
prüfen_VERB,105433
trieb_VERB,105121
sagten_VERB,104918
umgehen_VERB,104550
zählt_VERB,104399
redete_VERB,104210
liefern_VERB,103915
hinweg_ADV,103614
gerecht_ADJ,103310
soweit_ADV,103251
knurrte_VERB,103201
grauen_ADJ,103197
besucht_VERB,103151
echte_ADJ,103083
wenden_VERB,102930
drängte_VERB,102863
schoss_VERB,102703
oftmals_ADV,102688
sodass_ADJ,101924
genügt_VERB,101898
glitt_VERB,101730
extrem_ADJ,101691
wollt_VERB,101605
gelöst_VERB,101573
moderne_ADJ,101544
reichen_VERB,100936
lacht_VERB,100878
wagte_VERB,100858
gelebt_VERB,100841
einzig_ADJ,100643
werdet_VERB,100636
klare_ADJ,100359
leichte_ADJ,100175
arme_ADJ,100043
rein_ADV,99899
merken_VERB,99878
liebe_ADJ,99721
weiten_ADJ,99616
heißen_ADJ,98925
bauen_VERB,98768
beruht_VERB,98749
passen_VERB,98730
wachsen_VERB,98570
herab_VERB,98544
höchste_ADJ,98506
gäbe_VERB,98419
befahl_VERB,98301
trennen_VERB,98237
lustig_ADJ,98128
stumm_ADJ,98087
hierbei_ADV,98020
weinen_VERB,97969
zahlen_VERB,97911
spüre_VERB,97824
üblich_ADJ,97778
gewohnt_VERB,97735
wendet_VERB,97589
warmen_ADJ,97525
kalten_ADJ,97508
begriff_VERB,97011
reich_ADJ,96898
sank_VERB,96889
näherte_VERB,96886
nickt_VERB,96791
lachend_ADJ,96708
nackt_ADJ,96653
gelangt_VERB,96634
sollst_VERB,96574
wünsche_VERB,96465
bildete_VERB,96268
volle_ADJ,95953
irgend_ADV,95899
brannte_VERB,95636
freue_VERB,95411
mach_VERB,95241
frische_ADJ,95236
letztes_ADJ,95199
stiegen_VERB,95167
toll_ADJ,95149
denkst_VERB,94711
dicke_ADJ,94702
andern_ADJ,94406
gering_ADJ,94361
brüllte_VERB,94287
bedingt_ADJ,94262
hell_ADJ,94149
könnt_VERB,93798
armen_ADJ,93784
rollte_VERB,93706
heraus_ADV,93525
höchst_ADV,93327
klaren_ADJ,93276
fördern_VERB,93125
negativ_ADJ,92978
reinen_ADJ,92868
treiben_VERB,92844
warte_VERB,92781
soeben_ADV,92774
weich_ADJ,92589
glaubst_VERB,92571
riesige_ADJ,92556
liefert_VERB,92554
küssen_VERB,92476
befreit_VERB,92443
umgeben_VERB,92245
gefühlt_VERB,92067
fasste_VERB,92049
drüben_ADV,92038
einen_ADJ,91668
fremde_ADJ,91558
derzeit_ADV,91473
ziehe_VERB,91212
zugeben_VERB,90745
erheben_VERB,90412
bleibe_VERB,90370
lebten_VERB,90259
gewöhnt_VERB,90244
breite_ADJ,90133
ändert_VERB,90091
drehen_VERB,89944
erstes_ADJ,89672
hörten_VERB,89511
genau_ADV,89392
fragend_ADJ,89362
kräftig_ADJ,89041
belegt_VERB,89027
bringe_VERB,88983
müssten_VERB,88744
hastig_ADJ,88674
geringe_ADJ,88548
brechen_VERB,88264
kennst_VERB,88244
zitiert_VERB,87974
zwang_NOUN,87970
teilte_VERB,87827
längere_ADJ,87779
roch_VERB,87754
vermag_VERB,87645
späten_ADJ,87642
stammen_VERB,87585
direkte_ADJ,87456
gleiten_VERB,86595
wohnt_VERB,86472
fürchte_VERB,86442
übel_ADJ,86427
musste_ADJ,86386
stören_VERB,86288
taten_VERB,86248
verfügt_VERB,86067
hingen_VERB,85952
schönes_ADJ,85899
nunmehr_ADV,85863
zumeist_ADV,85807
eilig_ADJ,85792
quasi_ADV,85222
schaue_VERB,84989
fremd_ADJ,84967
fordert_VERB,84507
lächelt_VERB,84319
endet_VERB,84218
blickt_VERB,84189
kalte_ADJ,83921
löst_VERB,83892
wirksam_ADJ,83834
gefasst_VERB,83734
anrufen_VERB,83470
sammeln_VERB,83328
voller_ADJ,83173
öfter_ADV,83012
wilden_ADJ,82894
bekomme_VERB,82473
muss_ADV,82051
melden_VERB,81714
wuchs_VERB,81693
kriegen_VERB,81607
enge_ADJ,81578
hübsch_ADJ,81507
darfst_VERB,81436
suchten_VERB,81229
private_ADJ,81219
anfangs_ADV,81021
zischte_VERB,80956
gerufen_VERB,80899
käme_VERB,80868
fähig_ADJ,80722
ansah_VERB,80700
erhöhen_VERB,80611
innen_NOUN,80571
erfährt_VERB,80570
hellen_ADJ,80291
drohte_VERB,80076
genaue_ADJ,79985
freut_VERB,79973
normale_ADJ,79897
tanzen_VERB,79889
ahnte_VERB,79853
zweites_ADJ,79682
deutet_VERB,79472
fahre_VERB,79398
singen_VERB,79246
zweiter_ADJ,79012
feste_ADJ,78713
wächst_VERB,78655
brummte_VERB,78573
weinte_VERB,78568
blaue_ADJ,78514
drücken_VERB,78367
klären_VERB,78008
wagen_VERB,77985
gefüllt_VERB,77857
ergab_VERB,77792
nochmal_ADV,77788
nackten_ADJ,77755
sauber_ADJ,77746
echten_ADJ,77649
grüne_ADJ,77616
