term,term_frequency
central_ADJ,90093
tratar_VERB,89927
hablaba_VERB,89899
detuvo_VERB,89814
hotel_NOUN,89764
civil_ADJ,89720
derecha_NOUN,89672
octubre_NOUN,89619
respeto_NOUN,89437
junio_NOUN,89376
blanca_ADJ,89357
oficial_ADJ,89348
llena_ADJ,89059
buenos_ADJ,89015
algo_ADV,88966
carga_NOUN,88569
cumplir_VERB,88564
usar_VERB,88283
niveles_NOUN,88191
autores_NOUN,87925
grave_ADJ,87819
pueblos_NOUN,87524
mayores_ADJ,87238
laboral_ADJ,87214
abril_NOUN,87098
blanco_ADJ,86661
caja_NOUN,86559
dejando_VERB,86465
doble_ADJ,86413
alumnos_NOUN,86384
lograr_VERB,86356
supone_VERB,86179
oficina_NOUN,86110
enero_NOUN,86046
dicen_VERB,86011
sabemos_VERB,85995
noches_NOUN,85960
calles_NOUN,85933
ofrece_VERB,85932
gustaba_VERB,85887
cabello_NOUN,85876
curso_NOUN,85865
reglas_NOUN,85829
perro_NOUN,85717
isla_NOUN,85668
decirle_VERB,85566
hacerse_VERB,85035
sombra_NOUN,84906
visita_NOUN,84796
fueran_VERB,84690
frase_NOUN,84436
dicha_ADJ,84397
cuerpos_NOUN,84040
vidas_NOUN,83871
darse_VERB,83858
pagar_VERB,83750
plano_NOUN,83718
dejaba_VERB,83128
norte_NOUN,83047
muestra_VERB,82789
segundo_NOUN,82719
antiguo_ADJ,82552
flores_NOUN,82530
verano_NOUN,82351
belleza_NOUN,82206
hogar_NOUN,81701
novela_NOUN,81690
hice_VERB,81568
conoce_VERB,81368
bajo_ADJ,80972
abuela_NOUN,80955
serio_NOUN,80931
noticia_NOUN,80890
local_ADJ,80545
pude_VERB,80527
triste_ADJ,80301
empleo_NOUN,80253
consumo_NOUN,80205
azul_ADJ,79958
tuviera_VERB,79680
tienda_NOUN,79629
militar_ADJ,79605
clara_ADJ,79450
llevado_VERB,79231
quiso_VERB,79211
ritmo_NOUN,79176
redes_NOUN,78991
abierta_ADJ,78733
mejorar_VERB,78727
oscuro_ADJ,78688
correr_VERB,78613
planes_NOUN,78444
blanco_NOUN,78330
nombres_NOUN,78228
suave_ADJ,78111
ataque_NOUN,77951
asiento_NOUN,77939
clave_NOUN,77823
sucede_VERB,77796
maestro_NOUN,77762
bosque_NOUN,77635
aumento_NOUN,77619
terreno_NOUN,77580
cree_VERB,77518
nota_NOUN,77487
pago_NOUN,77243
zonas_NOUN,77132
periodo_NOUN,77036
verlo_VERB,77028
comprar_VERB,76867
sentado_ADJ,76386
sacar_VERB,76335
tuve_VERB,76303
hambre_NOUN,76230
actuar_VERB,76215
fines_NOUN,76132
mental_ADJ,76024
siglos_NOUN,75987
recurso_NOUN,75745
tierras_NOUN,75730
buenas_ADJ,75439
aceptar_VERB,75401
honor_NOUN,75293
vaya_VERB,75052
planta_NOUN,74914
hojas_NOUN,74696
moral_ADJ,74687
llorar_VERB,74614
motivos_NOUN,74418
cena_NOUN,74296
cartas_NOUN,74004
enemigo_NOUN,73933
aceite_NOUN,73826
implica_VERB,73694
plaza_NOUN,73666
tanto_NOUN,73612
directa_ADJ,73591
asuntos_NOUN,73554
