term,term_frequency
chaleur_NOUN,211274
zone_NOUN,210891
preuve_NOUN,209610
prince_NOUN,209527
textes_NOUN,209137
message_NOUN,209006
pourra_VERB,208966
sens_VERB,208825
villes_NOUN,208562
restait_VERB,208137
rapide_ADJ,207825
tels_ADJ,207412
aide_NOUN,207078
moments_NOUN,206864
sociaux_ADJ,206846
film_NOUN,206391
taux_NOUN,205738
blanche_ADJ,205676
conduit_VERB,205665
savez_VERB,205498
bonnes_ADJ,205387
cerveau_NOUN,204901
phrase_NOUN,204649
gorge_NOUN,204195
titres_NOUN,203790
allons_VERB,203602
compter_VERB,203466
chose_ADJ,203201
maman_NOUN,202725
permis_VERB,202616
page_NOUN,202350
cherche_VERB,202289
parti_NOUN,201800
appris_VERB,201604
foule_NOUN,201172
danger_NOUN,201030
moderne_ADJ,200585
portes_NOUN,200501
plaisir_VERB,200303
combat_NOUN,199407
sortie_NOUN,199248
sommeil_NOUN,198883
notion_NOUN,198463
tirer_VERB,198451
arbres_NOUN,197793
somme_NOUN,197502
immense_ADJ,197424
besoins_NOUN,197167
tenu_VERB,197000
vaut_VERB,196477
pose_VERB,196157
saison_NOUN,195790
secret_NOUN,195777
morale_ADJ,195640
ouvrir_VERB,195474
mesures_NOUN,195218
devant_VERB,194766
connais_VERB,194725
pouvais_VERB,194289
soldats_NOUN,194264
passa_VERB,193632
noire_ADJ,193584
suffit_VERB,193284
dents_NOUN,192838
lors_ADV,192650
erreur_NOUN,192154
prise_VERB,191496
surface_NOUN,191125
sombre_ADJ,191022
auteurs_NOUN,190936
veille_NOUN,190892
maisons_NOUN,190700
instant_ADJ,190652
lutte_NOUN,190253
tourna_VERB,190218
projets_NOUN,190021
sentit_VERB,189890
faux_ADJ,189757
jeunes_NOUN,188830
acteurs_NOUN,188827
finit_VERB,188574
anciens_ADJ,188475
madame_NOUN,188352
grand_NOUN,187671
fleurs_NOUN,187106
recours_NOUN,186565
laissa_VERB,186062
rentrer_VERB,185934
passait_VERB,185835
portait_VERB,185387
hasard_NOUN,185338
fruits_NOUN,184042
journal_NOUN,183970
marche_NOUN,183873
suivi_VERB,183820
monter_VERB,183723
payer_VERB,183702
courage_NOUN,183697
vitesse_NOUN,183664
pouvons_VERB,183543
tuer_VERB,183532
entier_ADJ,183297
sortit_VERB,182744
agir_VERB,182449
allez_VERB,182039
court_ADJ,181962
saint_NOUN,181859
publics_ADJ,181708
effort_NOUN,181689
hauteur_NOUN,181598
lors_ADJ,181544
fera_VERB,181397
produit_NOUN,181339
ouvert_VERB,181254
passant_VERB,181115
dossier_NOUN,180964
riche_ADJ,180868
traits_NOUN,180480
parc_NOUN,179579
statut_NOUN,179143
noms_NOUN,178308
perte_NOUN,178034
comte_NOUN,177485
toute_ADV,176865
chien_NOUN,176664
revient_VERB,176584
odeur_NOUN,176567
donnait_VERB,176322
voyant_VERB,176096
hiver_NOUN,175991
pages_NOUN,175766
combien_ADV,175547
manque_NOUN,175497
choisi_VERB,175357
passion_NOUN,175292
ombre_NOUN,175107
faveur_NOUN,174904
docteur_NOUN,174523
clients_NOUN,174471
appeler_VERB,174253
vraie_ADJ,174089
genoux_NOUN,173866
viens_VERB,173507
risques_NOUN,173286
telles_ADJ,173180
presse_NOUN,173033
vente_NOUN,172763
membre_NOUN,172643
essayer_VERB,172291
lignes_NOUN,172138
palais_NOUN,172120
prison_NOUN,172002
hier_ADV,171894
mise_VERB,171008
oreille_NOUN,170890
fonds_NOUN,170864
tourner_VERB,170468
disparu_VERB,170456
profond_ADJ,170392
douce_ADJ,170286
limites_NOUN,170030
rythme_NOUN,170012
photo_NOUN,169744
prenant_VERB,169639
plage_NOUN,169628
contenu_NOUN,169386
opinion_NOUN,169060
sexe_NOUN,168840
dormir_VERB,168828
longues_ADJ,168754
soins_NOUN,168714
beaux_ADJ,168516
couple_NOUN,168088
pain_NOUN,167377
cinq_ADJ,167063
secteur_NOUN,166971
produit_VERB,166934
port_NOUN,166574
masse_NOUN,166262
parce_ADV,166225
poche_NOUN,166107
sert_VERB,165974
devenue_VERB,165688
parlait_VERB,165515
doigt_NOUN,165409
reine_NOUN,165354
demi_NOUN,164956
chaud_ADJ,164954
demi_ADJ,164648
assurer_VERB,164311
ouest_NOUN,163806
sujets_NOUN,163594
vide_NOUN,163411
gagner_VERB,163378
offre_VERB,163184
triste_ADJ,163081
portant_VERB,163046
sent_VERB,162988
doux_ADJ,162073
ferait_VERB,161907
aimait_VERB,161864
abord_NOUN,161423
efforts_NOUN,161208
accueil_NOUN,161139
soutien_NOUN,160992
rues_NOUN,160907
quant_VERB,160650
types_NOUN,160505
posa_VERB,160492
utile_ADJ,159564
vaste_ADJ,159541
dites_VERB,159401
ouvrit_VERB,159253
chair_NOUN,159241
sources_NOUN,159226
univers_NOUN,158075
code_NOUN,157768
ajouta_VERB,156456
notes_NOUN,155999
dame_NOUN,155995
sort_NOUN,155825
comptes_NOUN,155207
jeta_VERB,155116
liens_NOUN,153600
finir_VERB,153428
froid_ADJ,152960
victime_NOUN,152834
fortune_NOUN,152475
arme_NOUN,152454
belles_ADJ,152016
fasse_VERB,151847
camp_NOUN,150970
certes_ADV,150152
couloir_NOUN,150017
devoir_VERB,149963
regards_NOUN,149637
calme_NOUN,149610
tourne_VERB,149105
disant_VERB,148900
suit_VERB,148631
avions_VERB,148604
choisir_VERB,148201
suppose_VERB,148187
naturel_ADJ,147930
enfance_NOUN,147721
lait_NOUN,147556
pluie_NOUN,146883
volume_NOUN,146768
sucre_NOUN,146690
huile_NOUN,146544
pont_NOUN,146467
ordres_NOUN,146464
sort_VERB,146179
venue_VERB,146155
civile_ADJ,145554
rares_ADJ,145448
toucher_VERB,145408
frais_NOUN,145305
francs_NOUN,145298
atteint_VERB,145157
basse_ADJ,144953
murmura_VERB,144901
terres_NOUN,144777
royaume_NOUN,144729
voici_VERB,144374
aspect_NOUN,144237
pensait_VERB,144146
jeter_VERB,144069
lever_VERB,143461
manque_VERB,143251
prenait_VERB,143202
suivant_VERB,143178
face_VERB,143109
votre_VERB,142824
commune_ADJ,142806
faudra_VERB,142250
tenter_VERB,142230
sauver_VERB,142080
baiser_NOUN,142027
photos_NOUN,141952
tiers_NOUN,141070
profit_NOUN,140671
prends_VERB,140559
crime_NOUN,140343
trouva_VERB,140084
client_NOUN,139890
bons_ADJ,139814
ajouter_VERB,139630
calme_ADJ,139454
outils_NOUN,139452
samedi_NOUN,139450
jeux_NOUN,139062
vertu_NOUN,139059
simples_ADJ,138812
serais_VERB,138513
donnant_VERB,138428
arbre_NOUN,138129
froid_NOUN,138095
devoir_NOUN,137870
huit_ADJ,137579
pire_ADJ,137410
